open	https://www.yahoo.com/	EMPTY
type	//input[@class=videos-input p-xs pt-s mt-xs fz-xs w-100 videos-input-inactive and @name=p and @type=text]	coffee
clickAndWait	//input[@class=quotes-btn vh and @type=submit]	EMPTY
select	//select[@id=m and @class=sldd and @name=m]	label="All Markets"
clickAndWait	//input[@id=btnQuotes and @class=rapid-nf and @type=submit]	EMPTY
clickAndWait	//a[@href=https://games.yahoo.com/;_ylt=Ak9CJPJLJjya1kzytwX.MqMnv7gF and contains(text(),'Games')]	EMPTY
clickAndWait	//a[@href=https://info.yahoo.com/legal/us/yahoo/utos/utos-173.html and contains(text(),'Terms')]	EMPTY
type	//input[@id=mnp-search_box and @class=yucs-search-input and @name=p and @type=search]	banana
clickAndWait	//button[@id=yucs-sprop_button and @class=yucs-action_btn yucs-button_theme yucs-vsearch-button and @type=submit and @onclick=var vfr = this.getAttribute('data-vfr'); if(vfr){document.getElementById('fr').value = vfr}]	EMPTY
clickAndWait	//a[@class=more and @href=https://search.yahoo.com/search;_ylt=AwrBJR7jwphTrWQAfqDUwOZ_?ei=UTF-8&p=banana&fr=uh3_games_web_gs&type=2button&fr2=webr-dd&vs=games.yahoo.com and contains(text(),'More Web Results »')]	EMPTY
type	//input[@id=yschsp-bot and @class=sbq and @name=p and @type=text]	computer
clickAndWait	//input[@class=sbb and @type=submit]	EMPTY
type	//input[@id=yschsp and @class=sbq and @name=p and @type=text and @onfocus=this.setAttribute('dirty',1);]	shirt
open	https://www.yahoo.com/	EMPTY
type	//input[@id=sportsSearch and @class=sports-input p-xs mt-xs mb-xs fz-xs w-100 sports-input-inactive and @name=p and @type=text]	dress
clickAndWait	//input[@class=quotes-btn vh rapidnofollow and @type=submit]	EMPTY
clickAndWait	//a[@id=yucs-login_signIn and @class=yucs-fc and @href=https://login.yahoo.com/config/login;_ylt=AwrBJSD4wphTf3wAREhNbK5_?.src=&.intl=us&.lang=en-US&.done=http://sports.search.yahoo.com/search%3fp=dress and contains(text(),'Sign In')]	EMPTY
clickAndWait	//a[@id=fbLink and @href=https://open.login.yahoo.com/openid/yrp/signin?idp=facebook&ts=1402520317&.intl=us&.lang=en-US&.done=http%3A%2F%2Fsports.search.yahoo.com%2Fsearch%3Fp%3Ddress&rpcrumb=geE6eFVQCQz and contains(text(),'Facebook')]	EMPTY
type	//input[@id=username and @name=login and @type=text]	banana
type	//input[@id=passwd and @name=passwd and @type=password]	apple
clickAndWait	//button[@id=.save and @class=lgbx-btn purple-bg and @name=.save and @type=submit]	EMPTY
open	https://www.yahoo.com/	EMPTY
type	//input[@id=p_13838465-p and @class=input-query input-long med-large compact-input-enabled and @name=p and @type=text]	banana
clickAndWait	//input[@class=videos-btn vh rapidnofollow and @type=submit]	EMPTY
clickAndWait	//a[@id=yssl and @class=sson and @href=http://ri.search.yahoo.com/_ylt=A2KLqIEOw5hTyicA.lD7w8QF;_ylu=X3oDMTBncGdyMzQ0BHNlYwNzZWFyY2gEdnRpZAM-/RV=2/RE=1402549134/RO=10/RU=http%3a%2f%2fsearch.yahoo.com%2fweb%2fage_restrict%3faccept%3dhttp%253A%252F%252Fsearch.yahoo.com%252Fweb%252Fsavepref%253Fpref_done%253Dhttp%25253A%25252F%25252Fvideo.search.yahoo.com%25252Fsearch%25252Fvideo%25253Ffr%25253Dyfp-vs-319%252526p%25253DSearch%25252Bvideos%252526.bcrumb%25253D.QsBaMMerF.%25252C1402520334%2526vm%253Dp%2526.bcrumb%253D.QsBaMMerF.%25252C1402520334%26cancel%3dhttp%253A%252F%252Fvideo.search.yahoo.com%252Fsearch%252Fvideo%253Fei%253DUTF-8%2526p%253DSearch%252Bvideos%26.bcrumb%3d.QsBaMMerF.%252C1402520334/RK=0/RS=_dAAanVRlPZjWSMJmyeNf.CI2K0- and contains(text(),'Off')]	EMPTY
clickAndWait	//a[@href=https://mail.yahoo.com/;_ylt=A0LEV1QSw5hTii0AheSl87UF?.intl=us&.lang=en-US&.src=ym and contains(text(),'Mail')]	EMPTY
clickAndWait	//a[@href=https://legalredirect.yahoo.com/privacy?intl=us&lang=en-US and contains(text(),'Privacy')]	EMPTY
clickAndWait	//a[@href=https://legalredirect.yahoo.com/utos?intl=us&lang=en-US and contains(text(),'Terms')]	EMPTY
clickAndWait	//a[@id=yucs-login_signIn and @class=yucs-fc and @href=https://login.yahoo.com/config/login?.src=ymbr&.intl=us&.lang=en-US&.done=https://login.yahoo.com/%3f.src=ym%26.intl=us%26.lang=en-US%26.done=http%3a//mail.yahoo.com and contains(text(),'Sign In')]	EMPTY
clickAndWait	//a[@id=yucs-help_link and @href=https://help.yahoo.com/kb/index?locale=en_US&page=product&y=PROD_ACCT and contains(text(),'Help')]	EMPTY
clickAndWait	//a[@href=https://us.lrd.yahoo.com/_ylt=Auyl9Uxg_.5AJlfjxMlkAhYALXtG/SIG=11d2k51c3/EXP=1403729950/**https%3A//screen.yahoo.com/ and contains(text(),'Screen')]	EMPTY
clickAndWait	//a[@class=rapid-nf and @href=https://screen.yahoo.com/snl/black-jeopardy-055848289.html and contains(text(),''Black Jeopardy' 946,500 views Saturday Night Live In this send-up of "Jeopardy," the twist is "Black Jeopardy," hosted by "Alex Treblack" (played by Kenan Thompson, who was also one of the writers of the sketch). Louis C.K. plays the only white guy on the show and is clearly out of his element. He's "Mark," an African American studies professor who immediately realizes his mistake when instead of history, the category choices include "It's Been a Minute," "That Girl," and "Psssh!" At one point, the professor jumps in to take the clue "It's been a minute since he got a job." His guess: "Who is unemployed fellow? Black?" He's met with scandalous looks from the other contestants, played by Jay Pharoah and Sasheer Zamata. "Wrong answer," he says. The skit inspired lots of comments on the Web. Viewer Steven Melton (?@meltonstvn) raved on Twitter, "The 'Black Jeopardy' skit on this weeks SNL was gold." Former "Saturday Night Live" head writer Seth Myers (@SethMeyers) tweeted, "'Black Jeopardy' is just a wonderful piece of sketch writing." The Wrap praised the sketch as "brilliantly irreverent." Slate called out the moment as one of the highlights of the show's "absurdist and sometimes awkward sketches." Self-mocking, odd, cringe-worthy: For Louis C.K. fans, that's a recipe for success. This skit comes after "Saturday Night Live" faced criticism for its lack of cast diversity. Thompson stirred debate when he told TV Guide last year that the problem was finding qualified black female comedians. "Like in auditions, they just never find ones that are ready," he said. Following the backlash, the show hired Zamata along with two African-American writers. --Claudine Zap (@zapkidd)')]	EMPTY
type	//input[@id=input-id-phoneNumber and @class=phone-number-input and @name=phoneNumber and @type=text]	36
clickAndWait	//button[@id=yucs-search_button and @class=yucs-action_btn yucs-wsearch-button and @type=submit and @onclick=var form=document.getElementById('yucs-search').children[0];var wa=form.getAttribute('data-webaction');form.setAttribute('action',wa);]	EMPTY
clickAndWait	//a[@href=https://mail.yahoo.com/;_ylt=A2KLqIM6w5hTMR4AK6n6w8QF?.intl=us&.lang=en-US&.src=ym and contains(text(),'Mail')]	EMPTY
clickAndWait	//a[@id=forgotLnk and @href=https://edit.europe.yahoo.com/config/eval_forgot_pw?new=1&.done=http%3A//mail.yahoo.com&.src=ym&partner=&.intl=us&.lang=en-US&pkg=&stepid=&.pd=ym_ver%3d0%26c=&.ab=&.last= and contains(text(),'I can't access my account')]	EMPTY
clickAndWait	//a[@id=yucs-login_signIn and @class=yucs-fc and @href=https://login.yahoo.com/config/login?.src=ymbr&.intl=us&.lang=en-US&.done=https://edit.europe.yahoo.com/forgotroot%3fdone=http%253A%252F%252Fmail.yahoo.com%26src=ym%26partner=%26intl=us%26lang=en-US and contains(text(),'Sign In')]	EMPTY
clickAndWait	//a[@id=yucs-login_signIn and @class=yucs-fc and @href=https://login.yahoo.com/config/login?.src=ymbr&.intl=us&.lang=en-US&.done=https://login.yahoo.com/config/login%3f.src=ymbr%26.intl=us%26.lang=en-US%26.done=https%3a//edit.europe.yahoo.com/forgotroot%253fdone=http%25253A%25252F%25252Fmail.yahoo.com%2526src=ym%2526partner=%2526intl=us%2526lang=en-US and contains(text(),'Sign In')]	EMPTY
clickAndWait	//a[@id=yucs-menu_link_profile_signed_out and @class=sp yucs-fc and @href=https://login.yahoo.com/config/login?.src=ymbr&.intl=us&.lang=en-US&.done=https://login.yahoo.com/config/login%3f.src=ymbr%26.intl=us%26.lang=en-US%26.done=https%3a//login.yahoo.com/config/login%253f.src=ymbr%2526.intl=us%2526.lang=en-US%2526.done=https%253a//edit.europe.yahoo.com/forgotroot%25253fdone=http%2525253A%2525252F%2525252Fmail.yahoo.com%252526src=ym%252526partner=%252526intl=us%252526lang=en-US]	EMPTY
clickAndWait	//a[@id=yucs-login_signIn and @class=yucs-fc and @href=https://login.yahoo.com/config/login?.src=ymbr&.intl=us&.lang=en-US&.done=https://login.yahoo.com/config/login%3f.src=ymbr%26.intl=us%26.lang=en-US%26.done=https%3a//login.yahoo.com/config/login%253f.src=ymbr%2526.intl=us%2526.lang=en-US%2526.done=https%253a//login.yahoo.com/config/login%25253f.src=ymbr%252526.intl=us%252526.lang=en-US%252526.done=https%25253a//edit.europe.yahoo.com/forgotroot%2525253fdone=http%252525253A%252525252F%252525252Fmail.yahoo.com%25252526src=ym%25252526partner=%25252526intl=us%25252526lang=en-US and contains(text(),'Sign In')]	EMPTY
clickAndWait	//a[@id=signUpBtn and @class=lgbx-btn blue-bg and @href=https://edit.europe.yahoo.com/config/eval_register?.intl=us&.lang=en-US&.pd=ymbr_ver%253D0%2526c%253D%2526ivt%253D%2526sg%253D&new=1&.done=https%3A//login.yahoo.com/config/login%3F.src=ymbr%26.intl=us%26.lang=en-US%26.done=https%3A//login.yahoo.com/config/login%253f.src=ymbr%2526.intl=us%2526.lang=en-US%2526.done=https%253a//login.yahoo.com/config/login%25253f.src=ymbr%252526.intl=us%252526.lang=en-US%252526.done=https%25253a//edit.europe.yahoo.com/forgotroot%2525253fdone=http%252525253A%252525252F%252525252Fmail.yahoo.com%25252526src=ym%25252526partner=%25252526intl=us%25252526lang=en-US&.src=ymbr&.v=0&.u=4819ln59phgq6&partner=&.partner=&pkg=&stepid=&.p=&promo=&.last= and contains(text(),'Create New Account')]	EMPTY
type	//input[@id=first-name and @name=firstname and @type=text]	dress
clickAndWait	//input[@class=button submit and @type=submit]	EMPTY
clickAndWait	//a[@href=https://info.yahoo.com/legal/us/yahoo/terms/en-us and contains(text(),'Yahoo Terms')]	EMPTY
type	//input[@id=mobile and @name=mobileNumber and @type=text]	62
open	https://www.yahoo.com/	EMPTY
type	//input[@id=last-name and @name=secondname and @type=text]	phone
open	https://www.yahoo.com/	EMPTY
type	//input[@id=relationship and @name=mobileNumberAnnotation and @type=text]	32
open	https://www.yahoo.com/	EMPTY
clickAndWait	//a[@href=http://info.yahoo.com/privacy/us/yahoo/ and contains(text(),'Privacy')]	EMPTY
select	//select[@id=year and @name=yyyy]	label="1931"
type	//input[@id=mobile-rec and @name=mobileNumber_alt and @type=text]	54
open	https://www.yahoo.com/	EMPTY
clickAndWait	//a[@class=ell fz-s and @href=http://hsrd.yahoo.com/_ylt=A0SO4lxcw5hT87IAggybvZx4/RV=1/RE=1403730012/RH=aHNyZC55YWhvby5jb20-/RO=2/RU=aHR0cDovL3NoaW5lLnlhaG9vLmNvbS9ob3Jvc2NvcGUv/RS=^ADAzrPzSsh1fzC8BsaEQcfKRyXStJ0-]	EMPTY
type	//input[@id=mediasearchform-p and @class=yom-field yom-field-search and @name=p and @type=text]	phone
clickAndWait	//button[@id=mediasearchform-submit and @class=yom-button and @type=submit]	EMPTY
clickAndWait	//a[@href=http://r.search.yahoo.com/_ylt=AwrBEiRzw5hTt34AL7whmolQ;_ylu=X3oDMTEyMDg0YWFxBHBvcwMzBHNlYwNvdi1ib3R0b20EY29sbwNiZjEEdnRpZAM-/RV=2/RE=1402549236/RO=10/RU=http%3a%2f%2f1876162.r.msn.com%2f%3fld%3dDvmuZDeXJm3DcZkv6nO_YiHDVUCUx3AcYjUxE7zb3Cj_3eegrlRmgv7uD0CamoINsIVbY7XfhkErJZK-HDOFxc7PSzI1XAJ77w8pE2eU-FfR0K_oTp8zA9vItfx0AG65xJSwIDiNY9BJeXOv5I8WT71wLa0-M%26u%3dwww.cheap-phones.com%252f%253futm_source%253dbing%2526utm_medium%253dcpc%2526utm_term%253dphones%2526utm_campaign%253dbing/RK=0/RS=hhrf1q4z877zwCGoIWnKqIPAWTI-?p=phone and contains(text(),'Find Best Deals on Cell Phones Check Lowest Prices Available Today')]	EMPTY
clickAndWait	//a[@id=yucs-mail_link_id and @class=sp yltasis yucs-fc and @href=https://mail.yahoo.com/;_ylt=AwrBEiRzw5hTt34A3rshmolQ?.intl=us&.lang=en-US&.src=ym and contains(text(),'Mail')]	EMPTY
clickAndWait	//a[@id=ggLink and @href=https://open.login.yahoo.com/openid/yrp/signin?idp=google&ts=1402520446&.intl=us&.lang=en-US&.done=http%3A%2F%2Fmail.yahoo.com&rpcrumb=geE6eFVQCQz&.src=ym and contains(text(),'Google')]	EMPTY
clickAndWait	//a[@id=signUpBtn and @class=lgbx-btn blue-bg and @href=https://edit.europe.yahoo.com/config/eval_register?.intl=us&.lang=en-US&.pd=ym_ver%253D0%2526c%253D%2526ivt%253D%2526sg%253D&new=1&.done=http%3A//mail.yahoo.com&.src=ym&.v=0&.u=4lr40s99phgrt&partner=&.partner=&pkg=&stepid=&.p=&promo=&.last= and contains(text(),'Create New Account')]	EMPTY
clickAndWait	//a[@id=yucs-login_signIn and @class=yucs-fc and @href=https://login.yahoo.com/config/login?.src=ymbr&.intl=us&.lang=en-US&.done=https://na.edit.yahoo.com/registration%3f.pd=ym_ver%25253D0%252526c%25253D%252526ivt%25253D%252526sg%25253D%26intl=us%26origIntl=%26done=http%253A%252F%252Fmail.yahoo.com%26src=ym%26last=%26partner=yahoo_default%26wl=%26wlcr=%26_asdk_embedded=%26create_alias=%26.scrumb=%26domain=%26yahooid=%26lang=en-US%26fsredirect=1%26fs=Dw55mKaHafC14Rw6SEAUL65.Yfi8zC8OJITigvknlj9a9Sh3ApQDH3a7d5MV0FOfcgLcv1sg and contains(text(),'Sign In')]	EMPTY
clickAndWait	//a[@id=signUpBtn and @class=lgbx-btn blue-bg and @href=https://edit.europe.yahoo.com/config/eval_register?.intl=us&.lang=en-US&.pd=ymbr_ver%253D0%2526c%253D%2526ivt%253D%2526sg%253D&new=1&.done=https%3A//na.edit.yahoo.com/registration%3F.pd=ym_ver%25253D0%252526c%25253D%252526ivt%25253D%252526sg%25253D%26intl=us%26origIntl=%26done=http%253A%252F%252Fmail.yahoo.com%26src=ym%26last=%26partner=yahoo_default%26wl=%26wlcr=%26_asdk_embedded=%26create_alias=%26.scrumb=%26domain=%26yahooid=%26lang=en-US%26fsredirect=1%26fs=Dw55mKaHafC14Rw6SEAUL65.Yfi8zC8OJITigvknlj9a9Sh3ApQDH3a7d5MV0FOfcgLcv1sg&.src=ymbr&.v=0&.u=5n492l19phgs7&partner=&.partner=&pkg=&stepid=&.p=&promo=&.last= and contains(text(),'Create New Account')]	EMPTY
select	//select[@id=country-code and @name=mobileCountryCode]	label="Montenegro (+382)"
clickAndWait	//a[@id=yucs-login_signIn and @class=yucs-fc and @href=https://login.yahoo.com/config/login?.src=ymbr&.intl=us&.lang=en-US&.done=https://na.edit.yahoo.com/registration%3f.pd=ymbr_ver%25253D0%252526c%25253D%252526ivt%25253D%252526sg%25253D%26intl=us%26origIntl=%26done=https%253A%252F%252Fna.edit.yahoo.com%252Fregistration%253F.pd%253Dym_ver%2525253D0%25252526c%2525253D%25252526ivt%2525253D%25252526sg%2525253D%2526intl%253Dus%2526origIntl%253D%2526done%253Dhttp%25253A%25252F%25252Fmail.yahoo.com%2526src%253Dym%2526last%253D%2526partner%253Dyahoo_default%2526wl%253D%2526wlcr%253D%2526_asdk_embedded%253D%2526create_alias%253D%2526.scrumb%253D%2526domain%253D%2526yahooid%253D%2526lang%253Den-US%2526fsredirect%253D1%2526fs%253DDw55mKaHafC14Rw6SEAUL65.Yfi8zC8OJITigvknlj9a9Sh3ApQDH3a7d5MV0FOfcgLcv1sg%26src=ymbr%26last=%26partner=yahoo_default%26wl=%26wlcr=%26_asdk_embedded=%26create_alias=%26.scrumb=%26domain=%26yahooid=%26lang=en-US%26fsredirect=1%26fs=kqV3FUiHafAKJv.gnV8o3egfzaSXfzEYDVVJ9RqEXGKn5hqw2p4qNJrGnEzndhl3yFnQHk03 and contains(text(),'Sign In')]	EMPTY
clickAndWait	//a[@id=fbLink and @href=https://open.login.yahoo.com/openid/yrp/signin?idp=facebook&ts=1402520462&.intl=us&.lang=en-US&.done=https%3A%2F%2Fna.edit.yahoo.com%2Fregistration%3F.pd%3Dymbr_ver%25253D0%252526c%25253D%252526ivt%25253D%252526sg%25253D%26intl%3Dus%26origIntl%3D%26done%3Dhttps%253A%252F%252Fna.edit.yahoo.com%252Fregistration%253F.pd%253Dym_ver%2525253D0%25252526c%2525253D%25252526ivt%2525253D%25252526sg%2525253D%2526intl%253Dus%2526origIntl%253D%2526done%253Dhttp%25253A%25252F%25252Fmail.yahoo.com%2526src%253Dym%2526last%253D%2526partner%253Dyahoo_default%2526wl%253D%2526wlcr%253D%2526_asdk_embedded%253D%2526create_alias%253D%2526.scrumb%253D%2526domain%253D%2526yahooid%253D%2526lang%253Den-US%2526fsredirect%253D1%2526fs%253DDw55mKaHafC14Rw6SEAUL65.Yfi8zC8OJITigvknlj9a9Sh3ApQDH3a7d5MV0FOfcgLcv1sg%26src%3Dymbr%26last%3D%26partner%3Dyahoo_default%26wl%3D%26wlcr%3D%26_asdk_embedded%3D%26create_alias%3D%26.scrumb%3D%26domain%3D%26yahooid%3D%26lang%3Den-US%26fsredirect%3D1%26fs%3DkqV3FUiHafAKJv.gnV8o3egfzaSXfzEYDVVJ9RqEXGKn5hqw2p4qNJrGnEzndhl3yFnQHk03&rpcrumb=geE6eFVQCQz&.src=ymbr and contains(text(),'Facebook')]	EMPTY
